id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,latitude,longitude,altitude_med
320,2A038,Bilia,50400,2015,Aug,7,13,Malveillance,NA,41.6222,8.9048,5.0
321,66215,Tr̩villach,200000,2015,Aug,20,13,Malveillance,NA,42.7091,2.5105,251.0
322,34020,Azillanet,61000,2015,Aug,19,18,Malveillance,NA,43.3263,2.7475,86.0
323,2B341,Venaco,480000,2015,Aug,17,14,Involontaire,particulier,42.2129,9.1455,630.0
324,66008,Argel̬s-sur-Mer,141500,2015,Jun,26,18,Accidentelle,NA,42.53,3.0232,5.0
325,11198,Laure-Minervois,58800,2015,Aug,18,19,Accidentelle,NA,43.2678,2.5144,125.0
326,11022,Azille,250700,2015,Aug,26,15,Malveillance,NA,43.2763,2.6581,131.0
327,66127,Opoul-P̩rillos,80000,2015,Sep,1,23,Involontaire,particulier,42.8817,2.8601,120.0
328,2B355,Volpajola,194784,2015,Sep,5,13,Malveillance,NA,42.5237,9.3699,70.0
329,11016,Arquettes-en-Val,187100,2015,Sep,11,12,Malveillance,NA,43.1061,2.4938,240.0
330,66014,Baixas,80000,2015,Mar,13,12,Involontaire,travaux,42.744,2.8079,42.0
331,30009,Alzon,90800,2015,Mar,7,7,Involontaire,travaux,43.974,3.4466,800.0
332,30009,Alzon,61500,2015,Mar,9,19,Involontaire,travaux,43.974,3.4466,800.0
333,2B096,Corte,115000,2015,Sep,26,16,Malveillance,NA,42.2737,9.0691,1372.0
334,11018,Arzens,52900,2015,Sep,25,16,Malveillance,NA,43.1968,2.2082,130.0
335,6162,La Brigue,217500,2015,Mar,12,9,Involontaire,travaux,44.0897,7.6496,792.0
336,11285,Peyriac-de-Mer,55873,2015,Oct,16,14,Accidentelle,NA,43.0899,2.9547,13.0
337,11276,Paziols,50802,2015,Oct,16,15,Involontaire,travaux,42.8552,2.7135,182.0
338,34339,Villespassans,121500,2015,Jan,11,14,Malveillance,NA,43.3812,2.9161,219.0
339,7112,Labastide-sur-B̩sorgues,380000,2015,Nov,20,13,Involontaire,particulier,44.7514,4.2994,952.0
