id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
383,2B096,Corte,248000,2016,Jun,27,14,Involontaire,particulier,277.0,11.0,11.0,8.0,5.1,10.3,4.9,3.3,4052.0,14420.0
384,66143,Plan̬zes,600000,2016,Jun,21,16,Involontaire,travaux,39.4,6.0,2.0,1.0,18.15,32.7,10.85,3.7,3286.0,13667.5
385,66030,Calce,50000,2016,Jun,25,11,Malveillance,NA,31.7,3.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
386,66030,Calce,200000,2016,Jul,5,4,Accidentelle,NA,31.7,3.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
387,66140,P̩zilla-la-Rivi̬re,150000,2016,Jul,5,12,Accidentelle,NA,30.0,5.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
388,11308,Raissac-sur-Lampy,144520,2016,Jul,7,12,Involontaire,travaux,49.75,8.0,3.0,1.0,9.7,18.7,11.4,4.7,3476.0,13610.0
389,11273,Paraza,185068,2016,Jul,14,21,Malveillance,NA,33.05,5.0,2.0,1.0,9.65,19.5,12.7,5.6,3965.0,14346.5
390,11099,Conques-sur-Orbiel,829689,2016,Jul,16,16,Accidentelle,NA,46.8,7.0,3.0,1.0,9.2,17.9,11.4,4.7,3476.0,13610.0
391,83069,Hy̬res,73000,2016,Jul,14,18,Involontaire,particulier,44.0,5.0,2.0,1.0,10.1,20.8,13.15,1.1,4166.0,15036.0
392,83064,Gar̩oult,75000,2016,Jul,15,16,Involontaire,particulier,68.9,6.0,3.0,2.0,8.8,19.8,12.1,1.1,4166.0,15036.0
393,2B143,Linguizzetta,80000,2016,Jul,15,17,Malveillance,NA,41.0,5.0,2.0,1.0,13.5,19.9,13.3,3.6,4020.0,14625.0
394,13026,Ch̢teauneuf-les-Martigues,1000000,2016,Jul,13,21,Malveillance,NA,34.25,4.0,2.0,1.0,10.3,19.4,11.4,4.7,4653.0,15455.0
395,13056,Martigues,460000,2016,Jul,15,19,Malveillance,NA,15.5,3.5,1.5,0.5,11.1,18.8,12.4,6.0,4653.0,15455.0
396,34032,B̩ziers,87000,2016,Jul,13,12,Involontaire,particulier,48.05,3.0,2.5,2.0,9.5,19.5,11.8,4.0,4299.0,14539.5
397,34225,Puisserguier,51500,2016,Jul,19,14,Accidentelle,NA,28.5,2.0,2.0,1.0,9.5,19.5,11.1,3.1,4299.0,14539.5
398,2B355,Volpajola,464200,2016,Jul,19,21,Malveillance,NA,46.5,5.0,3.0,1.0,9.7,18.3,12.8,2.7,4212.0,14636.0
399,66180,Saint-Laurent-de-la-Salanque,100000,2016,Jul,13,14,Involontaire,particulier,29.5,4.0,2.0,1.0,10.2,19.3,12.1,3.4,4055.0,14416.0
400,66071,Estagel,150000,2016,Jul,16,15,Malveillance,NA,31.7,3.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
401,11144,Fitou,121304,2016,Jul,17,19,Involontaire,particulier,22.9,4.0,1.0,1.0,17.5,25.2,12.5,6.5,4055.0,14416.0
402,48004,Altier,229000,2016,Apr,20,11,Involontaire,particulier,67.05,8.0,4.0,2.0,6.2,14.1,8.5,3.3,0.0,0.0
403,11262,Narbonne,324079,2016,Jan,15,22,Malveillance,NA,30.75,4.0,2.0,1.0,10.1,18.6,12.1,5.3,0.0,0.0
404,34145,Lunel,51700,2016,Jun,27,14,Accidentelle,NA,51.85,4.0,2.0,2.0,9.7,20.4,12.3,2.5,4205.0,15149.0
405,34163,Montarnaud,127500,2016,Jul,10,12,Involontaire,particulier,46.45,6.0,3.0,2.0,9.1,19.3,10.8,2.4,4690.0,15794.0
406,11390,Th̩zan-des-Corbi̬res,102861,2016,Feb,5,16,Involontaire,travaux,37.5,5.0,2.0,1.0,10.3,19.6,11.8,5.6,3965.0,14346.5
407,2B320,Tallone,51000,2016,Aug,2,11,Malveillance,NA,41.0,5.0,2.0,1.0,13.5,19.9,13.3,3.6,4020.0,14625.0
408,34148,Maraussan,101700,2016,Aug,5,14,Malveillance,NA,43.0,4.0,2.0,1.0,9.5,19.5,11.1,3.1,4299.0,14539.5
409,2B009,Al̩ria,66000,2016,Aug,6,14,Malveillance,NA,38.0,5.0,2.0,1.0,13.5,19.9,13.3,3.6,4020.0,14625.0
410,2B185,Oletta,97300,2016,Aug,7,10,Malveillance,NA,41.15,5.0,2.0,1.0,10.6,20.4,12.3,2.3,4212.0,14636.0
411,66106,Maureillas-las-Illas,400000,2016,Jul,18,12,Involontaire,particulier,66.5,5.0,3.0,2.0,10.5,19.3,11.0,3.5,2808.0,11152.0
412,30181,Montmirat,52692,2016,Aug,10,13,Malveillance,NA,57.3,5.0,3.0,2.0,7.1,19.6,11.1,2.5,0.0,0.0
413,30141,Laudun-l'Ardoise,102268,2016,Aug,11,16,Involontaire,travaux,46.45,5.5,3.0,1.0,9.85,20.1,11.1,4.8,4164.0,14547.0
414,11162,Generville,74533,2016,Aug,2,16,Involontaire,travaux,60.0,8.0,4.0,2.0,11.1,23.8,11.9,3.7,3652.0,14069.0
415,34285,Saint-Pons-de-Mauchiens,287500,2016,Aug,10,16,Malveillance,NA,39.45,4.0,2.0,1.0,9.9,20.1,11.4,3.0,4120.0,14757.0
416,11022,Azille,90908,2016,Aug,10,20,Malveillance,NA,36.4,6.0,2.0,1.0,10.4,19.5,12.7,5.6,3965.0,14346.5
417,66164,Rivesaltes,500000,2016,Jul,27,14,Involontaire,particulier,29.25,4.0,2.0,1.0,10.8,19.45,11.4,4.5,4099.0,14633.5
418,66205,Tautavel,331900,2016,Aug,1,17,Malveillance,NA,31.7,3.0,2.0,1.0,8.55,17.65,10.5,2.1,3286.0,13667.5
419,66212,Torreilles,150000,2016,Aug,6,18,Malveillance,NA,27.8,4.0,2.0,1.0,10.2,19.3,12.1,3.4,4055.0,14416.0
420,66008,Argel̬s-sur-Mer,50000,2016,Aug,13,15,Malveillance,NA,33.2,3.0,2.0,1.0,12.3,17.95,12.3,8.0,4055.0,14416.0
421,11148,Fontcouverte,211482,2016,Aug,21,14,Accidentelle,NA,33.65,5.0,2.0,1.0,10.3,19.6,11.8,5.6,3965.0,14346.5
422,11361,Saint-Papoul,52980,2016,Aug,21,16,Involontaire,travaux,55.8,8.0,4.0,2.0,9.2,17.2,11.9,3.7,3652.0,14069.0
423,2B251,Prunelli-di-Fiumorbo,399600,2016,Aug,8,13,Malveillance,NA,39.25,5.0,2.0,1.0,7.9,18.9,12.6,3.1,4020.0,14625.0
424,13001,Aix-en-Provence,414600,2016,Aug,1,15,Malveillance,NA,38.55,5.0,2.5,1.0,7.85,19.4,10.85,2.0,4650.0,15336.0
425,66030,Calce,90000,2016,Aug,22,8,Malveillance,NA,31.7,3.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
426,13056,Martigues,57600,2016,Aug,1,19,Malveillance,NA,15.5,3.5,1.5,0.5,11.1,18.8,12.4,6.0,4653.0,15455.0
427,13118,Coudoux,50900,2016,Aug,6,15,Involontaire,particulier,38.45,4.0,2.0,1.0,7.2,19.6,10.8,2.7,4653.0,15455.0
428,13097,Saint-Martin-de-Crau,166400,2016,Aug,6,22,Malveillance,NA,39.7,4.0,2.0,1.0,9.65,19.95,11.1,5.1,4579.5,15856.5
429,2B105,Erbajolo,80000,2016,Aug,24,10,Malveillance,NA,33.9,6.0,2.0,1.0,6.4,20.0,10.9,1.7,4232.0,15515.0
430,2B238,Poggio-di-Venaco,340039,2016,Aug,24,11,Malveillance,NA,45.6,6.0,2.0,1.0,6.4,20.0,10.9,1.7,4232.0,15515.0
431,2B009,Al̩ria,88000,2016,Aug,26,12,Malveillance,NA,38.0,5.0,2.0,1.0,13.5,19.9,13.3,3.6,4020.0,14625.0
432,2B096,Corte,784900,2016,Aug,22,14,Malveillance,NA,277.0,11.0,11.0,8.0,5.1,10.3,4.9,3.3,4052.0,14420.0
433,2B148,Lucciana,100135,2016,Aug,25,14,Malveillance,NA,40.7,4.0,2.0,1.0,10.5,19.5,12.8,2.7,4212.0,14636.0
434,2B116,Focicchia,263500,2016,Aug,25,14,Malveillance,NA,33.9,6.0,2.0,1.0,10.7,18.4,10.9,1.7,4232.0,15515.0
435,84030,Caromb,80000,2016,Aug,27,16,Malveillance,NA,43.6,5.0,2.0,1.0,7.9,20.1,10.6,2.4,4530.0,15051.5
436,2B148,Lucciana,53500,2016,Aug,26,11,Involontaire,particulier,40.7,4.0,2.0,1.0,10.5,19.5,12.8,2.7,4212.0,14636.0
437,34073,Cers,67600,2016,Sep,5,12,Accidentelle,NA,27.95,4.0,2.0,1.0,10.3,19.9,11.8,4.0,4120.0,14757.0
438,11286,Peyriac-Minervois,263087,2016,Sep,5,23,Malveillance,NA,30.5,4.0,2.0,1.0,9.6,17.5,11.2,4.5,3965.0,14346.5
439,11410,Villalier,107055,2016,Sep,7,15,Involontaire,particulier,46.8,7.0,3.0,1.0,9.6,17.5,11.2,4.5,3476.0,13610.0
440,66030,Calce,80000,2016,Sep,9,14,Malveillance,NA,31.7,3.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
441,34291,Saint-Vincent-d'Olargues,230800,2016,Sep,11,1,Malveillance,NA,98.2,10.0,5.0,3.0,4.65,13.3,9.3,5.0,3138.0,12100.0
442,2B299,San-Gavino-d'Ampugnani,300000,2016,Jan,11,20,Involontaire,travaux,57.35,6.0,3.0,2.0,9.45,20.75,12.8,2.7,4212.0,14636.0
