code_INSEE,latitude,longitude,altitude_med
4120,44.43,6.8559,1700.0
30085,43.9493,4.4719,135.0
7139,44.761,4.3338,428.0
13038,43.7278,4.7128,10.0
4139,44.1644,5.8078,520.0
26123,44.4988,5.4415,1017.0
48130,44.1942,3.5697,812.0
48096,44.1723,3.4644,1054.0
66066,42.491,1.8922,1446.0
66011,42.6075,2.8893,13.0
43082,45.0756,3.3572,1015.0
46176,44.6516,1.8483,405.0
23062,46.3528,1.8222,397.0
12025,43.8248,2.7517,345.0
12228,43.9701,2.7006,266.0
40243,43.9318,-0.9436,77.0
47215,44.3687,0.7006,50.0
7012,44.8963,4.3184,450.0
83059,43.3357,6.0884,189.0
2B055,42.5272,9.3279,484.0
30042,44.0508,4.0282,132.0
34232,43.5065,2.9978,130.0
34036,43.6985,3.3896,110.0
2A284,41.742,8.876,33.0
13071,43.4005,5.3222,209.0
34121,43.7691,3.1834,390.0
48115,44.2062,3.6636,750.0
2B318,42.4336,9.5006,16.0
34332,43.3089,3.3948,15.0
66228,42.7046,2.7964,80.0
48162,44.3,3.6667,903.0
66065,42.6083,2.9781,13.0
34200,43.6002,3.2444,389.0
6062,44.0213,7.5527,425.0
38140,45.2816,5.8853,970.0
39557,46.3547,5.6105,320.0
39478,46.4098,5.8802,1156.0
39289,46.3917,5.6687,320.0
43012,45.3668,4.2034,600.0
21037,46.989,4.7299,425.0
65428,42.9651,-0.1558,1105.0
65032,42.9089,-0.2517,1105.0
55574,48.4888,5.6165,256.0
39377,47.2844,5.5322,305.0
21694,47.4487,4.5267,340.0
21309,47.8759,4.3649,195.0
52205,48.0234,5.1632,335.0
49154,47.3333,-0.35,75.0
49180,47.3961,-0.1092,35.0
58087,46.7556,3.511,236.0
31334,43.3772,1.3028,200.0
31451,43.4679,1.9975,320.0
81016,43.4193,2.1865,630.0
23067,45.7315,2.2429,772.0
58226,47.3251,4.0917,525.0
12090,44.3782,2.4721,590.0
79153,46.0748,-0.0792,106.0
50403,49.1641,-1.5561,7.0
3055,46.428,2.5114,370.0
64255,43.3842,-1.4089,135.0
64276,43.0892,-0.6566,260.0
64124,43.2682,-1.353,135.0
64504,43.2968,-1.5822,180.0
64477,43.1792,-1.3543,252.0
64342,43.0582,-0.8836,216.0
64218,43.0772,-1.1763,292.0
64298,43.0733,-0.9607,1327.0
24222,44.8799,0.358,79.0
24218,45.5032,1.0874,324.0
33498,44.536,-0.8899,7.0
33251,44.5104,-0.5691,75.0
47186,44.2093,0.4528,148.0
38294,45.6772,5.1902,250.0
1037,45.842,5.4834,944.0
41275,47.9185,1.0977,85.0
41041,47.9833,1.0443,206.0
41250,47.7812,0.7231,113.0
41248,48.0573,0.894,172.0
41088,47.9749,1.1324,95.0
4074,44.0398,6.2732,600.0
7077,44.6597,4.5216,740.0
34007,43.3503,2.8231,124.0
6148,43.718,7.0353,44.0
2B002,42.0934,9.4064,61.0
34093,43.6699,3.2199,439.0
2B050,42.5498,8.7611,295.0
13117,43.4509,5.2655,9.0
83003,43.6218,6.3683,892.0
83082,43.6336,6.4774,892.0
4045,43.853,5.5883,350.0
83137,43.1364,5.9334,3.0
34095,43.5312,3.7737,34.0
4004,43.7921,6.0257,450.0
48065,44.207,3.5362,1028.0
83153,43.0759,5.9273,3.0
34015,43.3997,2.8864,258.0
34268,43.7077,3.4304,110.0
66156,42.7265,2.3646,500.0
4113,44.1287,6.2818,595.0
84035,43.8485,5.0333,65.0
34056,43.436,3.4718,20.0
5123,44.59,5.9596,1249.0
30093,43.9369,3.9032,160.0
83107,43.4282,6.6526,7.0
13103,43.643,5.049,89.0
13106,43.3931,5.3828,209.0
2B222,42.3756,9.3404,822.0
34329,43.2569,3.2305,12.0
34017,43.4632,3.4695,22.0
34205,43.7619,3.2712,846.0
26300,44.5133,5.4847,1017.0
34308,43.6339,3.0766,192.0
2A326,41.9678,8.9674,698.0
66134,42.5674,2.804,148.0
66182,42.7262,3.0167,7.0
34210,43.5919,3.5184,46.0
84089,43.6931,5.5345,250.0
4144,43.801,6.323,1110.0
66168,42.5541,2.9794,28.0
66224,42.7261,2.977,7.0
7098,44.7328,4.4646,737.0
6070,43.8037,6.9296,985.0
4204,43.9229,6.3645,1110.0
7121,44.8121,4.0241,1056.0
48198,44.4429,3.9293,900.0
48015,44.4839,3.9685,803.0
48061,44.3189,3.6268,903.0
43246,45.2875,4.0154,603.0
82131,44.2392,1.4738,266.0
2305,49.1833,3.5126,215.0
82187,44.1605,1.8858,319.0
89021,47.491,3.7436,302.0
58107,47.0877,3.7996,300.0
46072,44.6695,1.3915,230.0
43156,44.8916,4.0481,1050.0
58270,47.4863,3.0344,285.0
89044,47.5335,3.7628,210.0
89419,47.7328,3.2882,200.0
3155,46.7371,2.9111,225.0
45315,47.751,2.3499,144.0
45098,47.8151,1.7613,110.0
77186,48.4236,2.6817,81.0
87064,45.7098,1.7293,400.0
97408,-20.9965,55.3918,915.0
31581,43.832,1.4372,100.0
79246,46.3935,-0.1384,83.0
79154,46.0442,-0.0658,106.0
15250,45.351,2.5175,470.0
24485,45.3778,0.8158,130.0
24294,45.0163,0.147,29.0
