id,code_INSEE,annee,mois,jour,heure,tmax_med
997,66069,2012,Aug,12,4,19.45
998,66069,2017,Oct,12,12,19.45
999,66069,2020,Mar,13,0,19.45
1000,66069,2021,Apr,6,5,19.45
1001,66071,2016,Jul,16,15,19.5
1002,66071,2020,Jul,10,16,19.5
1003,66072,2012,Feb,29,15,14.7
1004,66072,2014,Mar,19,15,14.7
1005,66076,2015,Jun,25,16,19.4
1006,66080,2013,Apr,23,11,11.3
1007,66088,2012,Jun,25,17,20.1
1008,66088,2012,Sep,10,2,20.1
1009,66088,2019,Aug,22,12,20.1
1010,66093,2020,Jul,17,16,19.3
1011,66093,2022,Jun,23,14,19.3
1012,66106,2016,Jul,18,12,19.3
1013,66108,2014,Sep,17,17,19.5
1014,66108,2017,Sep,5,14,19.5
1015,66108,2019,Jul,16,14,19.5
1016,66108,2022,Jun,29,15,19.5
1017,66119,2020,Feb,24,12,16.15
1018,66121,2021,Jul,18,15,20.1
1019,66127,2015,Sep,1,23,19.8
1020,66127,2022,May,18,13,19.8
1021,66130,2017,Feb,16,16,14.7
1022,66134,2019,Apr,12,11,19.2
1023,66136,2013,Oct,23,14,19.45
1024,66136,2015,Jul,28,17,19.45
1025,66136,2018,Jul,8,16,19.45
1026,66137,2012,Jul,22,13,19.3
1027,66138,2017,Jul,17,14,19.45
1028,66140,2016,Jul,5,12,19.5
1029,66141,2012,Jul,28,16,19.45
1030,66141,2022,Aug,7,14,19.45
1031,66143,2016,Jun,21,16,32.7
1032,66145,2013,Sep,20,3,19.2
1033,66145,2019,Jul,15,1,19.2
1034,66147,2012,Jul,18,15,12.6
1035,66148,2021,Jun,16,9,17.95
1036,66148,2022,Sep,3,2,17.95
1037,66150,2012,Nov,13,10,11.4
1038,66156,2019,Mar,6,12,16.15
1039,66164,2016,Jul,27,14,19.45
1040,66164,2022,Jun,28,11,19.45
1041,66168,2019,Jul,16,13,20.9
1042,66172,2020,Jul,7,10,19.45
1043,66174,2021,Jun,14,12,19.5
1044,66176,2020,Aug,3,19,19.3
1045,66179,2012,Mar,24,13,17.0
1046,66180,2016,Jul,13,14,19.3
1047,66182,2019,May,30,15,19.3
1048,66186,2013,Aug,10,13,19.3
1049,66190,2014,Feb,13,19,25.2
1050,66190,2014,Jun,14,16,25.2
1051,66190,2016,Oct,11,11,25.2
1052,66190,2018,Jul,11,13,25.2
1053,66190,2018,Jun,18,1,25.2
1054,66190,2018,Sep,24,21,25.2
1055,66190,2021,Aug,20,15,25.2
1056,66192,2016,Sep,28,14,11.3
1057,66193,2022,Jul,23,14,18.15
1058,66205,2013,Aug,24,17,17.65
1059,66205,2015,Jul,14,16,17.65
1060,66205,2015,Jul,29,17,17.65
1061,66205,2016,Aug,1,17,17.65
1062,66205,2019,Jul,5,14,17.65
1063,66205,2021,Aug,26,12,17.65
