id,code_INSEE,nature_sec_inc,rr_med
538,26022,travaux,71.0
539,2A249,NA,38.8
540,2A017,NA,37.6
541,2A001,NA,58.8
542,2A004,particulier,52.05
543,34181,particulier,40.25
544,66130,travaux,49.15
545,66003,NA,54.2
546,83119,particulier,50.85
547,13077,NA,38.7
548,2B123,NA,38.5
549,30081,travaux,49.9
550,6101,travaux,64.85
551,30258,travaux,38.75
552,2B277,NA,64.5
553,7251,NA,73.3
554,34076,NA,36.0
555,4024,travaux,58.1
556,2B039,NA,42.3
557,4171,NA,74.75
558,84084,NA,75.5
559,84050,NA,46.75
560,34341,travaux,42.7
561,4070,NA,47.5
562,30105,NA,92.6
563,83061,particulier,61.8
564,2B292,NA,33.9
565,2B292,NA,33.9
566,2B143,NA,41.0
567,13073,NA,48.75
568,34096,NA,44.4
569,7086,travaux,61.9
570,26116,travaux,56.05
571,2A345,NA,57.0
572,2A139,NA,55.0
573,34181,NA,40.25
574,13055,NA,19.7
575,6050,particulier,66.1
576,34145,particulier,51.85
577,34235,NA,52.5
578,2B079,NA,42.3
579,6077,NA,73.35
580,2B301,NA,48.4
581,83142,NA,64.7
582,34211,travaux,57.95
583,34281,NA,38.1
584,34170,particulier,32.15
585,6066,particulier,63.8
586,34213,particulier,42.7
587,2B116,NA,33.9
588,4008,NA,83.4
589,4148,NA,62.5
590,48008,travaux,78.65
591,4120,travaux,74.6
592,30085,NA,51.1
593,7139,travaux,94.25
594,13038,travaux,42.95
595,4023,particulier,61.3
596,4139,travaux,63.85
597,26123,particulier,71.5
598,66014,travaux,29.25
599,48130,particulier,71.55
600,48096,NA,67.7
601,66066,travaux,49.15
602,66011,NA,28.95
603,66108,travaux,32.35
604,12076,NA,71.25
605,43082,NA,55.9
606,46176,NA,81.9
607,23062,NA,66.9
608,12025,travaux,58.5
609,12228,travaux,68.5
610,40243,travaux,77.6
611,47215,particulier,80.5
612,7012,travaux,53.0
613,83059,particulier,68.9
614,34213,particulier,42.7
615,34032,particulier,48.05
616,66190,NA,27.8
617,2B055,NA,52.3
618,2B123,NA,38.5
619,30042,NA,93.0
620,34165,NA,42.7
621,34232,particulier,39.6
622,34036,NA,36.0
623,2B123,NA,38.5
624,2B009,NA,38.0
625,34281,NA,38.1
626,2A284,particulier,54.05
627,13071,NA,40.9
628,34121,NA,78.8
629,34226,particulier,39.6
630,48115,particulier,103.9
631,2B318,NA,51.85
632,34165,NA,42.7
633,34165,NA,42.7
634,34332,travaux,27.95
635,66136,particulier,29.25
636,66190,particulier,27.8
637,66228,NA,22.75
638,2B201,NA,44.2
639,48162,travaux,65.95
640,66065,NA,28.95
641,66190,particulier,27.8
642,34286,travaux,73.05
643,34200,NA,55.0
644,6062,particulier,70.6
645,6074,NA,63.4
646,38140,NA,86.5
647,39557,NA,120.75
648,39478,travaux,190.9
649,39289,travaux,120.75
650,43012,travaux,50.5
651,21037,travaux,68.65
652,65428,travaux,80.45
653,65032,travaux,80.45
654,55574,travaux,71.4
655,39377,travaux,59.7
656,21694,particulier,73.75
657,21309,travaux,64.4
658,52205,travaux,74.45
659,49154,particulier,45.3
660,49180,travaux,47.65
661,58087,NA,68.0
662,31334,travaux,51.7
663,31451,particulier,65.2
664,81016,NA,95.0
665,23067,NA,82.25
666,23067,NA,82.25
667,58226,NA,72.75
668,12090,travaux,66.3
669,79153,travaux,64.0
670,50403,NA,65.25
671,3055,NA,60.8
672,64255,particulier,71.9
673,64276,particulier,108.3
674,64124,particulier,71.9
675,64504,particulier,98.5
676,64477,travaux,124.4
677,64342,travaux,100.85
678,64218,travaux,108.9
679,64218,travaux,108.9
680,64298,NA,127.1
681,24222,NA,55.75
682,24218,NA,86.6
683,33498,NA,35.95
684,33498,NA,35.95
685,33251,travaux,80.95
686,47186,NA,51.2
687,38294,travaux,66.5
