id,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,altitude_med,altitude_zone
289,7258,50000.0,2015,Jul,14,22,Malveillance,NA,1090.0,Haute
290,84129,250000.0,2015,Jul,12,18,Malveillance,NA,20.0,Basse
291,2B079,125400.0,2015,Jul,10,12,Malveillance,NA,499.0,Basse
292,11259,299200.0,2015,Jul,13,14,Involontaire,particulier,280.0,Basse
293,2B059,52292.0,2015,Jul,19,16,Malveillance,NA,240.0,Basse
294,26318,60000.0,2015,Jul,11,14,Involontaire,particulier,556.0,Basse
295,34103,86200.0,2015,Jul,12,2,Malveillance,NA,40.0,Basse
296,34003,70000.0,2015,Jul,19,18,Involontaire,particulier,2.0,Basse
297,34019,60150.0,2015,Jul,20,12,Involontaire,travaux,435.0,Basse
298,34181,92500.0,2015,Feb,23,16,Malveillance,NA,122.0,Basse
299,2B095,113588.0,2015,Jul,28,1,Malveillance,NA,1063.0,Haute
300,2B290,488130.0,2015,Jul,25,22,Malveillance,NA,844.0,Basse
301,2B185,78800.0,2015,Jul,27,11,Malveillance,NA,54.0,Basse
302,2B361,322405.0,2015,Jul,30,10,Accidentelle,NA,450.0,Basse
303,34237,78000.0,2015,Jul,25,12,Accidentelle,NA,73.0,Basse
304,30231,934600.0,2015,Jul,30,15,Malveillance,NA,450.0,Basse
305,48122,56500.0,2015,Jul,1,8,Involontaire,travaux,618.0,Basse
306,48074,161000.0,2015,Jul,31,15,Involontaire,travaux,1054.0,Haute
307,34242,590000.0,2015,Aug,8,14,Accidentelle,NA,160.0,Basse
308,83061,167300.0,2015,Jul,27,13,Malveillance,NA,18.0,Basse
309,66076,50000.0,2015,Jun,25,16,Involontaire,particulier,515.0,Basse
310,66205,80000.0,2015,Jul,14,16,Malveillance,NA,182.0,Basse
311,66215,350000.0,2015,Jul,20,16,Malveillance,NA,251.0,Basse
312,66058,270000.0,2015,Jul,21,11,Accidentelle,NA,103.0,Basse
313,66136,50000.0,2015,Jul,28,17,Malveillance,NA,42.0,Basse
314,66205,60000.0,2015,Jul,29,17,Malveillance,NA,182.0,Basse
315,84147,70000.0,2015,Aug,6,19,Involontaire,particulier,70.0,Basse
316,2B080,56360.0,2015,Aug,8,15,Malveillance,NA,560.0,Basse
317,34302,185000.0,2015,Aug,12,13,Malveillance,NA,131.0,Basse
318,66030,82600.0,2015,Aug,19,14,Malveillance,NA,182.0,Basse
319,13005,92700.0,2015,Aug,17,16,Malveillance,NA,105.0,Basse
320,2A038,50400.0,2015,Aug,7,13,Malveillance,NA,5.0,Basse
321,66215,200000.0,2015,Aug,20,13,Malveillance,NA,251.0,Basse
322,34020,61000.0,2015,Aug,19,18,Malveillance,NA,86.0,Basse
323,2B341,480000.0,2015,Aug,17,14,Involontaire,particulier,630.0,Basse
324,66008,141500.0,2015,Jun,26,18,Accidentelle,NA,5.0,Basse
325,11198,58800.0,2015,Aug,18,19,Accidentelle,NA,125.0,Basse
326,11022,250700.0,2015,Aug,26,15,Malveillance,NA,131.0,Basse
327,66127,80000.0,2015,Sep,1,23,Involontaire,particulier,120.0,Basse
328,2B355,194784.0,2015,Sep,5,13,Malveillance,NA,70.0,Basse
329,11016,187100.0,2015,Sep,11,12,Malveillance,NA,240.0,Basse
330,66014,80000.0,2015,Mar,13,12,Involontaire,travaux,42.0,Basse
331,30009,90800.0,2015,Mar,7,7,Involontaire,travaux,800.0,Basse
332,30009,61500.0,2015,Mar,9,19,Involontaire,travaux,800.0,Basse
333,2B096,115000.0,2015,Sep,26,16,Malveillance,NA,1372.0,Haute
334,11018,52900.0,2015,Sep,25,16,Malveillance,NA,130.0,Basse
335,6162,217500.0,2015,Mar,12,9,Involontaire,travaux,792.0,Basse
336,11285,55873.0,2015,Oct,16,14,Accidentelle,NA,13.0,Basse
337,11276,50802.0,2015,Oct,16,15,Involontaire,travaux,182.0,Basse
338,34339,121500.0,2015,Jan,11,14,Malveillance,NA,219.0,Basse
339,7112,380000.0,2015,Nov,20,13,Involontaire,particulier,952.0,Basse
340,2A031,339000.0,2015,Aug,30,12,Malveillance,NA,661.0,Basse
341,48116,648000.0,2015,Mar,11,12,Involontaire,travaux,1000.0,Haute
342,48022,138000.0,2015,Mar,9,13,Involontaire,travaux,618.0,Basse
343,4194,204800.0,2015,Apr,1,12,Involontaire,particulier,860.0,Basse
344,6074,178700.0,2015,Apr,2,12,Malveillance,NA,485.0,Basse
345,6103,387400.0,2015,Apr,3,17,Malveillance,NA,625.0,Basse
346,7286,300000.0,2015,Apr,10,11,Involontaire,travaux,640.0,Basse
347,2B337,53361.0,2015,Apr,13,13,Involontaire,travaux,198.0,Basse
348,6074,73100.0,2015,Jan,4,12,Malveillance,NA,485.0,Basse
349,6074,82100.0,2015,Jan,12,18,Malveillance,NA,485.0,Basse
350,6132,89200.0,2015,Apr,11,14,Malveillance,NA,425.0,Basse
351,6023,59500.0,2015,Apr,11,15,Malveillance,NA,320.0,Basse
352,6103,102300.0,2015,Apr,15,13,Malveillance,NA,625.0,Basse
353,26113,73000.0,2015,Mar,13,13,Involontaire,particulier,396.0,Basse
354,12163,200000.0,2016,Feb,21,18,Malveillance,NA,811.0,Basse
