id,code_INSEE,surface_parcourue_m2,Tens_vap_med
842,5055,628500.0,8.2
843,4070,55900.0,9.3
844,66069,50000.0,11.4
845,30129,130605.0,10.4
846,30169,409541.0,11.0
847,30339,663168.0,9.3
848,2A004,100000.0,12.9
849,2A017,120000.0,12.9
850,83003,311000.0,9.1
851,2A031,56038.0,9.4
852,2B275,121520.0,10.9
853,34147,56520.0,11.1
854,30017,89533.0,9.55
855,13081,87400.0,11.4
856,13077,832200.0,12.0
857,13118,117300.0,10.8
858,13005,91600.0,11.2
859,13117,313100.0,11.4
860,34232,69471.0,11.1
861,48119,180100.0,8.5
862,30339,104450.0,9.3
863,2B051,50000.0,10.9
864,7115,50000.0,11.1
865,13033,53600.0,11.4
866,4170,58800.0,10.1
867,4013,92500.0,9.2
868,66017,100000.0,12.1
869,66172,80000.0,11.4
870,66071,286300.0,10.95
871,66093,80000.0,11.0
872,66176,200000.0,12.1
873,66049,50000.0,10.9
874,66030,110000.0,10.95
875,66015,50000.0,11.8
876,2B063,250000.0,10.9
877,34061,79565.0,11.1
878,2A323,70000.0,11.8
879,48116,819600.0,8.8
880,48178,77400.0,9.2
881,6103,95000.0,7.9
882,6103,112000.0,7.9
883,17240,150000.0,11.8
884,97415,140594.0,14.7
885,87150,100000.0,10.5
886,97415,384400.0,14.7
887,89368,50000.0,10.6
888,63006,90000.0,8.3
889,63006,80000.0,8.3
890,12094,60000.0,9.65
891,12155,60000.0,9.55
892,40184,600000.0,12.7
893,33436,50000.0,11.8
894,33376,50000.0,12.1
895,34214,216018.0,11.0
896,34040,97834.0,10.5
897,34341,221628.0,11.9
898,2B355,489000.0,12.8
899,34092,60755.0,11.0
900,6163,420000.0,9.1
901,48075,62600.0,8.2
902,48168,75000.0,8.2
903,48119,114700.0,8.5
904,7251,57000.0,9.6
905,84079,308100.0,8.5
906,7187,165000.0,9.0
907,5077,55000.0,4.0
908,2B355,80000.0,12.8
909,2B213,50000.0,10.9
910,34135,340439.0,11.8
911,34206,560104.0,11.1
912,34135,188475.0,11.8
913,13007,803300.0,14.2
914,66069,100000.0,11.4
915,66174,70000.0,10.95
916,2A004,54000.0,12.9
917,66148,329600.0,12.3
918,83124,70000.0,10.1
919,2B150,52500.0,11.9
920,30193,54503.0,11.1
921,2B185,105050.0,12.3
922,6157,89000.0,13.2
923,2A006,70000.0,12.9
924,2B190,65000.0,12.6
925,66121,963400.0,11.2
926,66012,304530.0,11.4
927,66048,99300.0,12.3
928,34328,69781.0,10.95
929,2B143,100000.0,13.3
930,34180,134100.0,11.4
931,34007,67160.0,11.0
932,34017,143957.0,11.4
933,34183,464040.0,11.1
934,2A017,357000.0,12.9
935,2A209,78000.0,11.8
936,66190,170000.0,12.1
937,66205,902900.0,10.5
938,6073,98000.0,4.6
939,48075,154800.0,8.2
940,13056,59000.0,12.4
941,2B235,100000.0,12.6
942,2B333,170000.0,12.3
943,2B143,334500.0,13.3
944,34268,153388.0,10.7
945,34045,278905.0,11.0
946,34213,61647.0,11.9
947,34036,113183.0,10.7
948,66002,75000.0,12.1
949,34332,70550.0,11.8
950,2A006,157305.0,12.9
951,34093,72005.0,10.5
952,34135,378600.0,11.8
953,34186,68072.0,10.7
954,34056,80994.0,11.4
955,34165,445051.0,11.9
956,34178,54906.0,11.1
957,2A200,184200.0,9.4
958,2B289,106000.0,11.2
959,2B079,70000.0,11.4
960,2B343,80000.0,12.8
961,34144,77012.0,10.5
962,15081,50000.0,7.6
963,15045,150000.0,8.4
964,21582,75000.0,10.2
965,46040,200000.0,10.7
966,81243,849600.0,11.1
967,81325,122000.0,12.0
968,81073,500000.0,11.5
969,15106,250000.0,8.6
970,41275,300000.0,11.3
971,58102,60000.0,11.0
972,58304,50100.0,10.5
973,46079,90000.0,10.7
974,54244,120000.0,10.1
975,81027,110000.0,12.0
976,43157,98500.0,8.45
977,54156,60500.0,10.1
978,42021,200000.0,10.7
